"Format","PiBoSo CSV File"
"Venue","Circuit International d'Essay"
"Vehicle","CRG Mini60"
"User","Antoine Celles"
"Data Source","Kart Racing Pro"
"Comment",""
"Date","10/31/23"
"Time","18:37:43"
"Sample Rate","10"
"Duration","297.298"
"Segment","Session"
"Beacon Markers","64.470, 122.202, 178.989, 236.464, 293.384"

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","Throttle","Brake","FrontBrakes","Clutch","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","%","%","deg/s","m","m"

"5.301","57.334","5231","109.960648","0.000000","0","35.148779","0.368770","0.321234","9.292712","100.000000","0.000000","0.000000","0.000000","22.258396","50.002342","130.603958"
"5.401","58.320","5375","109.877411","0.000000","0","36.326215","0.288000","0.326979","8.999723","100.000000","0.000000","0.000000","0.000000","15.173067","50.988411","130.485229"
"5.501","59.333","5602","109.807518","0.000000","0","37.380226","0.534956","0.277878","17.231043","100.000000","0.000000","0.000000","0.000000","31.005781","52.000607","130.328110"
"5.601","60.362","5856","109.756119","0.000000","0","38.351757","0.797074","0.264535","20.354412","100.000000","0.000000","0.000000","0.000000","46.003109","53.029713","130.109894"
"5.701","61.399","6041","109.720802","0.000000","0","39.355300","0.893467","0.293317","20.641872","100.000000","0.000000","0.000000","0.000000","48.405975","54.066078","129.808899"
"5.801","62.436","6175","109.696777","0.000000","0","40.433121","0.883002","0.325063","15.638955","100.000000","0.000000","0.000000","0.000000","46.127991","55.101738","129.416199"
"5.901","63.471","6204","109.678978","0.000000","0","41.674669","0.547002","0.352275","8.369522","100.000000","0.000000","0.000000","0.000000","21.040852","56.136314","128.937012"
"6.001","64.517","6313","109.664627","0.000000","0","42.947720","0.187568","0.358519","2.719818","100.000000","0.000000","0.000000","0.000000","9.826171","57.181335","128.398346"
"6.101","65.587","6485","109.660347","0.000000","0","44.191365","-0.098611","0.346521","-2.598411","100.000000","0.000000","0.000000","0.000000","-1.677551","58.250778","127.830887"
"6.201","66.189","6676","109.667923","0.000000","0","45.397029","-0.307878","0.337718","-6.970947","100.000000","0.000000","0.000000","0.000000","-13.363480","59.356468","127.259262"
"6.301","66.829","6555","109.614082","0.000000","0","46.278228","-0.422581","0.073735","-8.728695","42.424244","0.000000","0.000000","0.000000","-15.877851","60.503532","126.700462"
"6.401","67.495","6344","109.332436","0.000000","0","45.853188","-0.760842","-0.230085","-16.545763","6.549364","0.000000","0.000000","0.000000","-36.232281","61.675076","126.182777"
"6.501","68.176","6327","109.003563","0.000000","0","45.003481","-0.966492","-0.236250","-17.380966","4.496579","0.000000","0.000000","0.000000","-46.667316","62.857929","125.744476"
"6.601","68.863","6216","108.675468","0.000000","0","44.181982","-0.995398","-0.223584","-17.206284","4.496579","0.000000","0.000000","0.000000","-43.785675","64.048035","125.403252"
"6.701","69.548","6052","108.348953","0.000000","0","43.468121","-0.804982","-0.170266","-11.097835","4.496579","0.000000","0.000000","0.000000","-34.571781","65.239616","125.159126"
"6.801","70.224","5859","108.023804","0.000000","0","42.955431","-0.092771","-0.144383","-0.196518","4.496579","0.000000","0.000000","0.000000","-5.148271","66.426727","124.982018"
"6.901","70.888","5747","107.693588","0.000000","0","42.350863","0.034251","-0.175741","0.475415","0.000000","0.000000","0.000000","0.000000","0.711280","67.599678","124.816658"
"7.001","71.541","5686","107.358406","0.000000","0","41.719836","0.081248","-0.195250","2.338380","0.000000","0.000000","0.000000","0.000000","2.932187","68.755974","124.650772"
"7.101","72.180","5599","107.025261","0.000000","0","41.028854","0.458516","-0.213853","12.366327","0.000000","0.000000","0.000000","0.000000","19.772957","69.890877","124.470230"
"7.201","72.806","5638","106.694145","0.000000","0","40.034166","0.884690","-0.331686","24.367802","0.000000","3.323558","0.000000","0.000000","51.346878","70.992859","124.238586"
"7.301","73.417","5679","106.365059","0.000000","0","38.850324","1.200543","-0.317625","29.459167","0.000000","3.616813","0.000000","0.000000","76.035378","72.040596","123.920959"
"7.401","74.007","5574","106.037979","0.000000","0","37.719814","1.383235","-0.239107","25.760880","0.000000","1.173020","0.000000","0.000000","84.842896","73.014984","123.499802"
"7.501","74.579","5500","105.746437","0.000000","0","37.047224","1.325864","-0.006710","17.706459","39.393940","0.879765","0.000000","0.000000","53.775024","73.907799","122.976692"
"7.601","75.139","5775","105.608849","0.000000","0","37.213879","1.137285","0.112885","23.201376","74.877808","0.195503","0.000000","0.000000","64.911758","74.730118","122.357300"
"7.701","75.692","5999","105.541313","0.000000","0","37.694524","1.348946","0.219484","25.716656","92.473122","0.000000","0.000000","0.000000","77.669159","75.481880","121.640862"
"7.801","76.237","6147","105.538826","0.000000","0","38.504993","1.332495","0.285142","25.915667","100.000000","0.000000","0.000000","0.000000","72.761696","76.151962","120.823936"
"7.901","76.772","6232","105.546066","0.000000","0","39.396073","1.339337","0.340929","20.597647","100.000000","0.000000","0.000000","0.000000","66.810112","76.730583","119.911865"
