"Format","PiBoSo CSV File"
"Venue","Circuit International d'Essay - Short"
"Vehicle","CRG Mini60"
"User","Another Stig"
"Data Source","Kart Racing Pro"
"Comment",""
"Date","11/19/23"
"Time","16:57:27"
"Sample Rate","10"
"Duration","387.398"
"Segment","Session"
"Beacon Markers","46.014, 86.776, 127.575, 168.513, 209.304, 249.994, 290.632, 331.401, 379.036"

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","Throttle","Brake","FrontBrakes","Clutch","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","%","%","deg/s","m","m"

"8.001","93.028","8872","112.763077","0.000000","0","61.590420","0.010191","0.308233","0.116090","100.000000","0.000000","0.000000","0.000000","0.589257","81.636345","93.925835"
"8.101","94.587","9013","112.836037","0.000000","0","62.650806","0.020179","0.294576","0.049753","100.000000","0.000000","0.000000","0.000000","0.260675","81.851952","92.214363"
"8.201","96.222","9165","112.909958","0.000000","0","63.685554","0.017321","0.296119","0.337213","100.000000","0.000000","0.000000","0.000000","0.653718","82.070343","90.473389"
"8.301","97.920","9324","112.984962","0.000000","0","64.692389","0.061688","0.298690","1.100089","100.000000","0.000000","0.000000","0.000000","1.741554","82.289192","88.703621"
"8.401","99.664","9422","113.060066","0.000000","0","65.721094","0.092361","0.273220","1.553392","100.000000","0.000000","0.000000","0.000000","3.886155","82.505409","86.905670"
"8.501","101.438","9573","113.135651","0.000000","0","66.674226","0.152337","0.268876","1.774516","100.000000","0.000000","0.000000","0.000000","4.555163","82.713257","85.079391"
"8.601","103.224","9699","113.211639","0.000000","0","67.652607","0.133027","0.320300","1.907190","100.000000","0.000000","0.000000","0.000000","3.029599","82.910248","83.224892"
"8.701","105.023","9819","113.287605","0.000000","0","68.605520","0.181788","0.251904","2.266515","100.000000","0.000000","0.000000","0.000000","6.314591","83.095940","81.342575"
"8.801","106.913","9960","113.364120","0.000000","0","69.518401","0.193996","0.262800","2.266515","100.000000","0.000000","0.000000","0.000000","4.805057","83.266113","79.433029"
"8.901","108.832","10093","113.440788","0.000000","0","70.424911","0.218123","0.256040","2.316268","100.000000","0.000000","0.000000","0.000000","6.409004","83.419342","77.495766"
